SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"GODFRYPHLP","2,336.90","2,359.00","2,322.00","2,336.90","2,348.60","-","11.7","0.5","42876","10.07","3,947.00","1,832.10","7.69","-73.99"
"BPCL","327.50","327.55","324.45","324.00","325.60","-","1.6","0.49","444953","14.50","391.65","266.60","5.14","1.93"
"POLICYBZR","1,618.00","1,619.90","1,603.00","1,597.00","1,604.60","-","7.6","0.48","51997","8.39","1,974.00","1,364.00","0.36","-10.33"
"HDFCAMC","2,562.00","2,570.60","2,550.00","2,556.00","2,568.20","-","12.2","0.48","19678","5.04","2,967.25","2,205.60","-8.72","-55.04"
"KFINTECH","954.95","955.00","947.00","948.95","953.25","-","4.3","0.45","20934","1.99","1,215.00","784.95","7.83","-15.56"
"PNB","114.16","114.72","114.01","113.99","114.49","-","0.5","0.44","517494","5.92","135.15","98.50","8.2","8.91"
"PIDILITIND","1,638.00","1,648.00","1,613.90","1,620.00","1,627.10","-","7.1","0.44","236396","38.50","1,659.00","1,259.00","1.38","-45.12"
"DIVISLAB","8,389.50","8,441.00","8,389.50","8,378.00","8,414.50","-","36.5","0.44","15944","13.42","8,585.00","5,636.50","23.99","29.1"
"PAGEIND","40,240.00","40,240.00","39,820.00","39,750.00","39,915.00","-","165","0.42","652","2.61","47,310.00","29,805.00","-7.13","-14.08"
"ETERNAL","313.90","314.65","311.40","312.40","313.70","-","1.3","0.42","1039031","32.56","368.45","212.60","10.92","2.34"
"RBLBANK","382.60","382.80","380.55","380.55","382.10","-","1.55","0.41","95584","3.65","384.50","243.25","5.39","43.41"
"SAIL","174.95","175.20","174.06","173.55","174.24","-","0.69","0.4","775486","13.55","209.70","118.10","2.16","38.31"
"COFORGE","1,745.10","1,760.00","1,745.10","1,749.90","1,756.90","-","7","0.4","92617","16.24","1,989.70","1,008.10","19.53","0.19"
"MARUTI","14,240.00","14,243.00","14,131.00","14,168.00","14,223.00","-","55","0.39","13837","19.66","17,370.00","12,201.00","-1.38","14.58"
