"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 04-Aug-2026","1W AGO 
 29-Jul-2026","1M AGO 
 03-Jul-2026","1Y AGO 
 04-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY PRIVATE BANK","27,836.10","-0.09","27,779.70","27,840.00","27,680.30","-","27,860.45","27,860.45","27,563.45","28,215.45","26,955.45","29,748.45","23,957.45",-1.34,3.58
"NIFTY REALTY","907.15","1.79","898.95","907.25","898.25","-","891.20","891.20","918.45","890.80","912.05","974.50","638.65",1.84,-0.08
"NIFTY HEALTHCARE INDEX","16,655.75","-0.54","16,775.80","16,775.80","16,653.95","-","16,746.70","16,746.70","16,696.30","16,441.45","14,551.75","16,921.05","13,536.50",1.3,15.01
"NIFTY CONSUMER DURABLES","40,208.05","-0.25","40,282.20","40,323.20","40,131.20","-","40,307.35","40,307.35","40,117.25","36,831.80","38,414.15","40,631.50","32,587.95",9.17,4.54
"NIFTY OIL & GAS","11,265.45","0.35","11,308.10","11,321.95","11,262.95","-","11,226.30","11,226.30","11,076.30","11,136.20","11,151.45","12,445.70","10,580.95",1.16,2
"NIFTY MIDSMALL HEALTHCARE","51,790.45","-0.10","52,014.70","52,014.70","51,785.20","-","51,841.35","51,841.35","52,172.90","50,900.65","44,502.35","52,260.90","40,352.90",1.75,16.58
"NIFTY FINANCIAL SERVICES EX-BANK","33,280.65","0.68","33,267.40","33,288.25","33,136.60","-","33,055.50","33,055.50","32,103.20","32,244.40","29,276.70","33,255.90","26,788.05",3.21,14.08
"NIFTY MIDSMALL FINANCIAL SERVICES","22,528.05","0.29","22,608.55","22,616.70","22,484.50","-","22,462.40","22,462.40","22,281.50","22,372.60","17,983.25","22,772.50","17,421.50",0.69,26.56
"NIFTY MIDSMALL IT & TELECOM","9,826.30","0.24","9,854.70","9,858.35","9,820.20","-","9,802.95","9,802.95","9,749.95","9,295.75","9,562.45","10,591.60","7,748.35",5.71,3.46
"NIFTY CHEMICALS","30,571.50","0.48","30,638.80","30,661.10","30,566.80","-","30,424.55","30,424.55","30,343.15","30,030.85","30,893.55","31,895.45","24,851.65",1.8,-1.94
"NIFTY500 HEALTHCARE","21,587.45","-0.39","21,720.75","21,720.75","21,586.50","-","21,671.45","21,671.45","21,603.80","21,287.05","-","21,820.70","16,294.60",1.41,0
"NIFTY REITS & REALTY","1,952.60","0.71","1,947.95","1,952.65","1,946.70","-","1,938.75","1,938.75","1,962.50","1,925.50","-","2,012.90","1,632.55",1.41,0
"NIFTY CEMENT","15,530.25","0.60","15,519.75","15,546.50","15,430.50","-","15,438.05","15,438.05","15,368.15","15,370.60","-","18,188.60","13,534.80",1.04,0
"NIFTY DIVIDEND OPPORTUNITIES 50","6,034.80","0.16","6,048.20","6,048.20","6,030.40","-","6,025.15","6,025.15","5,937.65","5,805.80","5,866.60","6,584.65","5,614.00",3.94,3.12
"NIFTY GROWTH SECTORS 15","11,771.80","-0.22","11,829.00","11,829.00","11,763.20","-","11,797.90","11,797.90","11,587.90","10,883.05","11,435.65","12,852.45","10,329.35",8.17,3.27
"NIFTY100 QUALITY 30","5,746.30","-0.11","5,766.70","5,766.70","5,743.65","-","5,752.45","5,752.45","5,672.00","5,533.25","5,517.35","-","-",3.85,4.41
"NIFTY50 VALUE 20","12,105.40","-0.04","12,108.55","12,117.20","12,089.35","-","12,110.80","12,110.80","11,935.75","12,016.95","12,460.15","13,684.40","11,528.60",0.74,-2.53
"NIFTY50 TR 2X LEVERAGE","19,026.90","0.21","19,067.35","19,067.35","18,989.95","-","18,986.15","18,986.15","18,412.85","18,483.05","20,052.15","22,435.45","15,547.15",2.94,-4.53
"NIFTY50 PR 2X LEVERAGE","12,494.55","0.21","12,521.10","12,521.10","12,470.25","-","12,467.75","12,467.75","12,114.65","12,193.30","13,484.65","14,993.40","10,365.70",2.47,-6.78
"NIFTY50 TR 1X INVERSE","174.70","-0.11","174.55","174.90","174.55","-","174.90","174.90","177.60","177.25","170.20","193.35","161.80",-1.44,2.31
"NIFTY50 PR 1X INVERSE","215.25","-0.09","215.00","215.45","215.00","-","215.45","215.45","218.55","217.85","207.35","236.50","197.80",-1.19,3.49
"NIFTY50 DIVIDEND POINTS","182.42","-","182.42","182.42","182.42","-","182.42","182.42","158.29","126.28","170.49","-","-",44.46,7
"NIFTY ALPHA 50","55,495.70","0.37","55,651.70","55,651.85","55,370.85","-","55,288.95","55,288.95","53,779.65","53,537.65","51,916.55","-","-",3.66,7.28
"NIFTY50 EQUAL WEIGHT","33,807.65","0.03","33,893.50","33,893.50","33,769.60","-","33,797.95","33,797.95","33,235.40","33,015.00","30,998.80","-","-",2.4,9.07
"NIFTY100 EQUAL WEIGHT","35,648.00","0.35","35,682.70","35,682.75","35,574.65","-","35,522.80","35,522.80","34,898.65","34,651.50","32,284.20","-","-",2.88,10.58
"NIFTY100 LOW VOLATILITY 30","20,706.10","-0.26","20,793.45","20,794.10","20,705.00","-","20,761.10","20,761.10","20,516.40","20,142.55","19,969.85","-","-",2.8,3.95
